================================================================================
                          STRATEGY BACKTEST REPORT                              
================================================================================
Initial Balance:  $   1000.00
Final Balance:    $-632231.83
Net Profit/Loss:  $-633231.83 (-63323.18%)
Win Rate:         29.58%
Max Drawdown:     63323.18%
Total Trades:     524
================================================================================

DETAILED TRADE LOG:
--------------------------------------------------------------------------------
ID    Side   Entry Time         Entry Index   Entry Price   Exit Time          Exit Index   Exit Price   PnL
252   LONG   2026-01-30 04:00   234340        82365.77      2026-01-30 07:00   236453       82794.01     +4282.40
253   LONG   2026-01-30 08:00   237174        82742.63      2026-01-30 10:00   238571       82886.83     +1442.00
254   LONG   2026-01-30 11:00   239275        83150.00      2026-01-30 12:00   239978       82944.93     -2050.70
255   LONG   2026-01-30 13:00   240680        83930.77      2026-01-30 15:00   242081       83893.14     -376.30
256   LONG   2026-01-30 16:00   242780        84270.00      2026-01-30 17:00   243478       84218.40     -516.00
257   LONG   2026-01-30 18:00   244175        84255.00      2026-01-30 19:00   244871       84061.99     -1930.10
258   LONG   2026-01-30 20:00   245580        84003.06      2026-01-30 22:00   246953       84020.01     +169.50
259   LONG   2026-01-30 23:00   247659        83990.57      2026-01-31 01:00   249026       83780.01     -2105.60
260   LONG   2026-01-31 02:00   249729        83541.68      2026-01-31 03:00   250403       83068.34     -4733.40
261   LONG   2026-01-31 03:00   250417        83068.34      2026-01-31 05:00   251776       83157.96     +896.20
262   LONG   2026-01-31 05:00   251790        83157.96      2026-01-31 06:00   252461       83020.00     -1379.60
263   LONG   2026-01-31 07:00   253159        82770.00      2026-01-31 09:00   254510       81487.41     -12825.90
264   LONG   2026-01-31 10:00   255205        81300.00      2026-01-31 11:00   255871       80363.38     -9366.20
265   LONG   2026-01-31 11:00   255885        80363.38      2026-01-31 12:00   256550       78891.60     -14717.80
